Unnamed: 0,id,gender,subCategory,articleType,season,usage,image,Color,filename,link,outfit_id
8255,23942,Men,Shoes,Shoes,Fall,Sports,../input/fashion-product-images-dataset/fashion-dataset/images/23942.jpg,Neutros,23942.jpg,http://assets.myntassets.com/v1/images/style/properties/44597a9d7b84ad03c3e5f78062f3a17c_images.jpg,100
18631,37117,Men,Topwear,Shirts,Fall,Formal,../input/fashion-product-images-dataset/fashion-dataset/images/37117.jpg,Azul,37117.jpg,http://assets.myntassets.com/v1/images/style/properties/Wills-Lifestyle-Men-Blue-Striped-Shirt_315c2103dc120cd5cb11ac18a34d3960_images.jpg,100
1017,15915,Men,Topwear,Shirts,Fall,Formal,../input/fashion-product-images-dataset/fashion-dataset/images/15915.jpg,Morado,15915.jpg,http://assets.myntassets.com/v1/images/style/properties/8b945ee8d1b80ab1166a9bc1207b873f_images.jpg,100
9184,2604,Women,Topwear,Tshirts,Fall,Sports,../input/fashion-product-images-dataset/fashion-dataset/images/2604.jpg,Rojo,2604.jpg,http://assets.myntassets.com/v1/images/style/properties/e5bcc4207da838bc8eac86ba16149690_images.jpg,100
16215,19869,Men,Shoes,Sandals,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/19869.jpg,Verde,19869.jpg,http://assets.myntassets.com/v1/images/style/properties/3e1dabf8016a8da0aa8ae47b05778e1c_images.jpg,101
4192,39237,Women,Topwear,Tshirts,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/39237.jpg,Amarillo,39237.jpg,http://assets.myntassets.com/v1/images/style/properties/1c32e4d3030e13c8181d0dcb814a687b_images.jpg,101
15200,15068,Men,Shoes,Sandals,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/15068.jpg,Neutros,15068.jpg,http://assets.myntassets.com/v1/images/style/properties/2dbe6ccf3e108714597fe657a6d9f799_images.jpg,101
13519,38856,Women,Topwear,Tshirts,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/38856.jpg,Neutros,38856.jpg,http://assets.myntassets.com/v1/images/style/properties/e73bdd068cd1c1fa1a711d9a93e789f5_images.jpg,101
5665,48417,Men,Topwear,Tshirts,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/48417.jpg,Morado,48417.jpg,http://assets.myntassets.com/v1/images/style/properties/7eefbd40001364cdda29b43779e4de36_images.jpg,102
16037,54069,Men,Shoes,Sandals,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/54069.jpg,Azul,54069.jpg,http://assets.myntassets.com/v1/images/style/properties/Adidas-Men-Navy-Blue-Flip-Flops_77781426414e189fd15f39b0bde7fc09_images.jpg,102
7814,33124,Women,Shoes,Heels,Winter,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/33124.jpg,Neutros,33124.jpg,http://assets.myntassets.com/v1/images/style/properties/0f1a7d0294c960f7ba66d847aedefed0_images.jpg,102
5035,5921,Women,Shoes,Shoes,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/5921.jpg,Neutros,5921.jpg,http://assets.myntassets.com/v1/images/style/properties/21fde2ba262b8efc27cf05dee8b7747d_images.jpg,102
18204,42127,Men,Shoes,Sandals,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/42127.jpg,Neutros,42127.jpg,http://assets.myntassets.com/v1/images/style/properties/0d26af1629c5df279b77f42847aae41d_images.jpg,103
489,42241,Women,Topwear,Tshirts,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/42241.jpg,Morado,42241.jpg,http://assets.myntassets.com/v1/images/style/properties/0c065355d66e08df89726a61a839a248_images.jpg,103
15301,19804,Men,Topwear,Tshirts,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/19804.jpg,Azul,19804.jpg,http://assets.myntassets.com/v1/images/style/properties/67a635864d137284aed9f7055a7e649a_images.jpg,103
10501,21134,Women,over_Topwear,Sweaters,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/21134.jpg,Neutros,21134.jpg,http://assets.myntassets.com/v1/images/style/properties/f04abe8ad818bca639341725676979ed_images.jpg,103
6211,2117,Men,Bottomwear,Shorts,Fall,Sports,../input/fashion-product-images-dataset/fashion-dataset/images/2117.jpg,Neutros,2117.jpg,http://assets.myntassets.com/v1/images/style/properties/f954624a31586477d07be0b1236ab56a_images.jpg,104
14838,43872,Men,Shoes,Shoes,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/43872.jpg,Neutros,43872.jpg,http://assets.myntassets.com/v1/images/style/properties/004e1ef8e299ccf87b7620da58d8dc5a_images.jpg,104
6104,24593,Women,Topwear,Tshirts,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/24593.jpg,Neutros,24593.jpg,http://assets.myntassets.com/v1/images/style/properties/fd5f8b9fe370091c8b1e400a8e43cc8f_images.jpg,104
4508,52553,Women,Bottomwear,Pants,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/52553.jpg,Azul,52553.jpg,http://assets.myntassets.com/v1/images/style/properties/248555e743ea2d0a414b2ad6ef9e7711_images.jpg,104
21640,24427,Men,Shoes,Shoes,Summer,Sports,../input/fashion-product-images-dataset/fashion-dataset/images/24427.jpg,Neutros,24427.jpg,http://assets.myntassets.com/v1/images/style/properties/eb719bf30c5d94c1388e4a4aaeddbe12_images.jpg,105
22118,2003,Men,Topwear,Tshirts,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/2003.jpg,Azul,2003.jpg,http://assets.myntassets.com/v1/images/style/properties/c2d63807c44db4ebe6fbb7527f247ed3_images.jpg,105
10343,20015,Women,Topwear,Tshirts,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/20015.jpg,Verde,20015.jpg,http://assets.myntassets.com/v1/images/style/properties/e4c2ed5cbd3714b1de6cdc13cdcbdeaf_images.jpg,105
4411,13538,Men,Shoes,Shoes,Winter,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/13538.jpg,Neutros,13538.jpg,http://assets.myntassets.com/v1/images/style/properties/a123a02879d4304c2f8d8c22511974f0_images.jpg,105
6515,35819,Women,Shoes,Heels,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/35819.jpg,Neutros,35819.jpg,http://assets.myntassets.com/v1/images/style/properties/Enroute-Women-Bluish-Grey-Sandals_c6fe0bef4f939f675e4b52ce662a7ade_images.jpg,106
3118,35234,Men,Shoes,Shoes,Fall,Formal,../input/fashion-product-images-dataset/fashion-dataset/images/35234.jpg,Marrón,35234.jpg,http://assets.myntassets.com/v1/images/style/properties/d9a7dd39e9528df61fdade8cd7bf4209_images.jpg,106
9315,19590,Women,Topwear,Tshirts,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/19590.jpg,Neutros,19590.jpg,http://assets.myntassets.com/v1/images/style/properties/United-Colors-of-Benetton-Women-Off-White---Grey-Printed-Top_e450eebc8adc4b6844c206eaee02aa19_images.jpg,106
17843,22463,Women,Bottomwear,Pants,Fall,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/22463.jpg,Rojo,22463.jpg,http://assets.myntassets.com/v1/images/style/properties/4f0849c30a4d486ccb5b20285962f054_images.jpg,106
12601,15387,Men,Shoes,Sandals,Summer,Casual,../input/fashion-product-images-dataset/fashion-dataset/images/15387.jpg,Rojo,15387.jpg,http://assets.myntassets.com/v1/images/style/properties/9063c60cfb3bb6e9f3af7424c9fe2518_images.jpg,107
18418,36452,Men,Shoes,Shoes,Spring,Sports,../input/fashion-product-images-dataset/fashion-dataset/images/36452.jpg,Neutros,36452.jpg,http://assets.myntassets.com/v1/images/style/properties/74290206b1434065f7a071bc61ae493a_images.jpg,107
