id,gender,subCategory,articleType,season,usage,Color,embedding,link,outfit_id
43239,Men,Shoes,Shoes,Summer,Sports,Neutros,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.066622615), np.float32(0.0), np.float32(0.0), np.float32(0.2554714), np.float32(0.14394228), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.28312278), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.26582813), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.29491413), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.14854816), np.float32(0.2670407), np.float32(0.0), np.float32(0.0), np.float32(0.027184874), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.10124327), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.08417046), np.float32(0.0), np.float32(0.0), np.float32(0.057851), np.float32(0.0), np.float32(0.018746449), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.124491036), np.float32(0.0), np.float32(0.21338826), np.float32(0.0), np.float32(0.0), np.float32(0.07741546), np.float32(0.049102597), np.float32(0.1098955), np.float32(0.0), np.float32(0.07559199), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.22527075), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.23485771), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.18130937), np.float32(0.0), np.float32(0.25137067), np.float32(0.0), np.float32(0.023779731), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0630515), np.float32(0.22075169), np.float32(0.0799835), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.14282548), np.float32(0.0), np.float32(0.04684712), np.float32(0.23159717), np.float32(0.03975708), np.float32(0.0), np.float32(0.0), np.float32(0.34827003), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.13532735), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.101440325), np.float32(0.26438034), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.38336682)]",http://assets.myntassets.com/v1/images/style/properties/79ab8e426bec027b33c9e2ccac1096f1_images.jpg,0
31142,Men,Topwear,Shirts,Summer,Formal,Naranja,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.03786706), np.float64(0.0), np.float64(0.0), np.float64(0.10113902), np.float64(0.0), np.float64(0.0), np.float64(0.44842464), np.float64(0.07223114), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.37041032), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.37680662), np.float64(0.0), np.float64(0.0), np.float64(0.04222033), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.37938547), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.25251588), np.float64(0.26987854), np.float64(0.0), np.float64(0.0), np.float64(0.07606027), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.23656659), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.19407403), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.04547455), np.float64(0.01222564), np.float64(0.03543643), np.float64(0.0), np.float64(0.0), np.float64(0.20332456), np.float64(0.0), np.float64(0.3106002), np.float64(0.0), np.float64(0.0), np.float64(0.15338437), np.float64(0.0646501), np.float64(0.3307503), np.float64(0.0), np.float64(0.20703986), np.float64(0.0), np.float64(0.00971005), np.float64(0.0), np.float64(0.3317793), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.249116), np.float64(0.01769224), np.float64(0.0), np.float64(0.0), np.float64(0.31175655), np.float64(0.0), np.float64(0.276803), np.float64(0.03720148), np.float64(0.07692143), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.02123306), np.float64(0.18790029), np.float64(0.2190825), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.01432509), np.float64(0.0), np.float64(0.0), np.float64(0.29140967), np.float64(0.0), np.float64(0.13929427), np.float64(0.27383822), np.float64(0.11498422), np.float64(0.01176261), np.float64(0.0), np.float64(0.3423068), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.29130214), np.float64(0.03341899), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3334615), np.float64(0.3043374), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.51451826)]",http://assets.myntassets.com/v1/images/style/properties/d7b9e64675ee1886484481433b0220fe_images.jpg,0
27622,Men,Bottomwear,Pants,Summer,Formal,Neutros,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.06014166), np.float64(0.0), np.float64(0.0), np.float64(0.37864202), np.float64(0.01543897), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.31707788), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.33341128), np.float64(0.0), np.float64(0.0), np.float64(0.02629328), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.31338122), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.21944639), np.float64(0.23660809), np.float64(0.0), np.float64(0.0), np.float64(0.09604932), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2152642), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.14645095), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.02772449), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.14379796), np.float64(0.0), np.float64(0.26164034), np.float64(0.0), np.float64(0.0), np.float64(0.16961552), np.float64(0.03757232), np.float64(0.2885136), np.float64(0.0), np.float64(0.17522953), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2894948), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.22503874), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.26409274), np.float64(0.0), np.float64(0.22306922), np.float64(0.0), np.float64(0.06744964), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00202872), np.float64(0.11806376), np.float64(0.17932184), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.23544502), np.float64(0.0), np.float64(0.15200396), np.float64(0.20694561), np.float64(0.12968238), np.float64(0.0), np.float64(0.0), np.float64(0.27481928), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2482138), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3123901), np.float64(0.23526484), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.45407364)]",http://assets.myntassets.com/v1/images/style/properties/82183512d51a736dcf3131a1390ae94e_images.jpg,0
31742,Men,over_Topwear,Jackets,Summer,Formal,Neutros,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.08989136), np.float64(0.0), np.float64(0.0), np.float64(0.3747518), np.float64(0.05924203), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.28814313), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.31383762), np.float64(0.0), np.float64(0.0), np.float64(0.01113613), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.27961737), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.19103268), np.float64(0.21243441), np.float64(0.0), np.float64(0.0), np.float64(0.10282928), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.20950517), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15566877), np.float64(0.0), np.float64(0.0), np.float64(0.01383223), np.float64(0.0), np.float64(0.05228974), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.16571039), np.float64(0.0), np.float64(0.25225946), np.float64(0.0), np.float64(0.0), np.float64(0.17347707), np.float64(0.05618668), np.float64(0.28553915), np.float64(0.0), np.float64(0.19829008), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2687203), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.18025573), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.23121239), np.float64(0.0), np.float64(0.20390092), np.float64(0.0), np.float64(0.10359272), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.02634976), np.float64(0.11555403), np.float64(0.17001012), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.21871912), np.float64(0.0), np.float64(0.15408155), np.float64(0.21685874), np.float64(0.127058), np.float64(0.0), np.float64(0.0), np.float64(0.22924389), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.21245167), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.31884274), np.float64(0.25011274), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.41901764)]",http://assets.myntassets.com/v1/images/style/properties/6a4ba6f42c04311003248ed463d694d7_images.jpg,0
31363,Men,Topwear,Tshirts,Summer,Casual,Azul,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.06335227), np.float32(0.0), np.float32(0.0), np.float32(0.29323405), np.float32(0.09725519), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2859062), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.27448875), np.float32(0.0), np.float32(0.0), np.float32(0.004640326), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2893509), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.16202551), np.float32(0.25349504), np.float32(0.0), np.float32(0.0), np.float32(0.053460002), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.13622358), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.10311955), np.float32(0.0), np.float32(0.0), np.float32(0.03942), np.float32(0.0), np.float32(0.01468673), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.12955527), np.float32(0.0), np.float32(0.21988398), np.float32(0.0), np.float32(0.0), np.float32(0.10998159), np.float32(0.03967841), np.float32(0.16795976), np.float32(0.0), np.float32(0.10517905), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2398535), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.22300455), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2060454), np.float32(0.0), np.float32(0.24200699), np.float32(0.0), np.float32(0.029507874), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.04089511), np.float32(0.17625201), np.float32(0.10619131), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.17726177), np.float32(0.0), np.float32(0.07775748), np.float32(0.21854575), np.float32(0.06679956), np.float32(0.0), np.float32(0.0), np.float32(0.31435794), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.17139623), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.15652633), np.float32(0.24621466), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.39958248)]",http://assets.myntassets.com/v1/images/style/properties/33e59d63bb1e61279124c24cdbc2e42b_images.jpg,1
41477,Men,Shoes,Shoes,Spring,Casual,Rojo,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1712237), np.float64(0.0), np.float64(0.0), np.float64(0.3636666), np.float64(0.3004943), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2873751), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.33654147), np.float64(0.0), np.float64(0.0), np.float64(0.00232851), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.29716605), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.11540151), np.float64(0.26877034), np.float64(0.0), np.float64(0.0), np.float64(0.03162074), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.10901338), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.18332222), np.float64(0.0), np.float64(0.0), np.float64(0.07722317), np.float64(0.0), np.float64(0.07762261), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.25907126), np.float64(0.0), np.float64(0.30735335), np.float64(0.0), np.float64(0.0), np.float64(0.11331137), np.float64(0.07764304), np.float64(0.15295762), np.float64(0.0), np.float64(0.1726299), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2656362), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.20571375), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.234293), np.float64(0.0), np.float64(0.33558607), np.float64(0.0), np.float64(0.07351829), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.10452421), np.float64(0.23198254), np.float64(0.07951546), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15752083), np.float64(0.0), np.float64(0.03113979), np.float64(0.35475934), np.float64(0.03310286), np.float64(0.0), np.float64(0.0), np.float64(0.32100505), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15905353), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1538662), np.float64(0.41656354), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.47087184)]",http://assets.myntassets.com/v1/images/style/properties/ccadca774366af462f51c21a9516f53b_images.jpg,1
18976,Men,Bottomwear,Pants,Summer,Sports,Rojo,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.07725042), np.float64(0.0), np.float64(0.0), np.float64(0.28938407), np.float64(0.18004888), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.33934855), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.31275392), np.float64(0.0), np.float64(0.0), np.float64(0.00691302), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3687241), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.18279867), np.float64(0.31522438), np.float64(0.0), np.float64(0.0), np.float64(0.00515002), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.08817508), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.10803059), np.float64(0.0), np.float64(0.0), np.float64(0.0369061), np.float64(0.0), np.float64(0.01816006), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15553391), np.float64(0.0), np.float64(0.2602537), np.float64(0.0), np.float64(0.0), np.float64(0.07139245), np.float64(0.05152515), np.float64(0.09931879), np.float64(0.0), np.float64(0.07790741), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.25632012), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3048749), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.21903576), np.float64(0.0), np.float64(0.29743096), np.float64(0.0), np.float64(0.00456643), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.07453785), np.float64(0.29614276), np.float64(0.09113319), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.18169755), np.float64(0.0), np.float64(0.01226027), np.float64(0.2729352), np.float64(0.02126285), np.float64(0.0), np.float64(0.0), np.float64(0.43244123), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.17184067), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.09536419), np.float64(0.3134868), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.43600488)]",http://assets.myntassets.com/v1/images/style/properties/04493434829ae8ea3831f0f488b1c0c7_images.jpg,1
28540,Men,over_Topwear,Jackets,Summer,Sports,Rojo,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.10081437), np.float64(0.0), np.float64(0.0), np.float64(0.2886263), np.float64(0.2064801), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3220154), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.30049014), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.35002148), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1712861), np.float64(0.30524063), np.float64(0.0), np.float64(0.0), np.float64(0.00778991), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.08805067), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.11884239), np.float64(0.0), np.float64(0.0), np.float64(0.0569134), np.float64(0.0), np.float64(0.03406513), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.17147315), np.float64(0.0), np.float64(0.25511137), np.float64(0.0), np.float64(0.0), np.float64(0.07729196), np.float64(0.06805731), np.float64(0.10302912), np.float64(0.0), np.float64(0.092985), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.24540639), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2772714), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.19547804), np.float64(0.0), np.float64(0.2942142), np.float64(0.0), np.float64(0.02529155), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.09647712), np.float64(0.29577804), np.float64(0.0854485), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.17715183), np.float64(0.0), np.float64(0.01595353), np.float64(0.2803805), np.float64(0.02951401), np.float64(0.0), np.float64(0.0), np.float64(0.40632474), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.14883217), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.10472796), np.float64(0.32225502), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.4178383)]",http://assets.myntassets.com/v1/images/style/properties/967ef2f9af420cda1800d5c7a5180306_images.jpg,1
16738,Men,Shoes,Sandals,Fall,Casual,Verde,"[np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.18971996), np.float32(0.0), np.float32(0.0), np.float32(0.30339316), np.float32(0.28352883), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.15613243), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.22263493), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.13054825), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.064870544), np.float32(0.15855873), np.float32(0.0), np.float32(0.0), np.float32(0.061220217), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.13298449), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.121956885), np.float32(0.0), np.float32(0.0), np.float32(0.12040532), np.float32(0.0), np.float32(0.08707466), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2262374), np.float32(0.0), np.float32(0.24338746), np.float32(0.0), np.float32(0.0), np.float32(0.11854081), np.float32(0.107819736), np.float32(0.119559824), np.float32(0.0), np.float32(0.1777823), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2093081), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.098277554), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.16073066), np.float32(0.0), np.float32(0.25882536), np.float32(0.0), np.float32(0.11372664), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.111475185), np.float32(0.13684466), np.float32(0.021507986), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.038069494), np.float32(0.0), np.float32(0.0793818), np.float32(0.30686674), np.float32(0.065155074), np.float32(0.0), np.float32(0.0), np.float32(0.14527304), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.027289156), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.1631723), np.float32(0.39433867), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.36961597)]",http://assets.myntassets.com/v1/images/style/properties/bd1cf0a06382c4c69e3a1ca6e96f5b50_images.jpg,2
12263,Men,Topwear,Shirts,Winter,Formal,Rojo,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.02949262), np.float64(0.0), np.float64(0.0), np.float64(0.37234178), np.float64(0.0), np.float64(0.0), np.float64(0.45247084), np.float64(0.4466799), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.06615251), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.27353305), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.02043216), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.02983687), np.float64(0.0), np.float64(0.0), np.float64(0.11007774), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.21938415), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2805393), np.float64(0.0), np.float64(0.0), np.float64(0.15495604), np.float64(0.0), np.float64(0.21836624), np.float64(0.01017573), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3905074), np.float64(0.0), np.float64(0.34163663), np.float64(0.0), np.float64(0.0), np.float64(0.2220621), np.float64(0.17872784), np.float64(0.31328633), np.float64(0.0), np.float64(0.42211342), np.float64(0.0), np.float64(0.00155682), np.float64(0.0), np.float64(0.23740298), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.20656325), np.float64(0.0), np.float64(0.25805408), np.float64(0.0), np.float64(0.28604406), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.15632398), np.float64(0.07057746), np.float64(0.08094627), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.04455847), np.float64(0.0), np.float64(0.16076589), np.float64(0.4118386), np.float64(0.111117), np.float64(0.01881008), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.06362876), np.float64(0.03221429), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.4386876), np.float64(0.54953593), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.41663456)]",http://assets.myntassets.com/v1/images/style/properties/10e41171af1dd399c388f70b1fbdf885_images.jpg,2
